Nr, C, P, Nr, C, P,
32, ed, ,207, B, ,
37, ed, ,212, C, ,
42, ed, ,217, B, ,
47, ed, ,222, A, ,
52, ed, ,227, B, ,
57, ed, ,232, A, ,
62, ed, ,237, C, ,
67, ed, ,242, B, ,
72, ed, ,247, C, ,
77, ed, ,252, A, ,
82, ed, ,257, A, ,
87, ed, ,262, C, ,
92, ed, ,267, C, ,
97, ed, ,272, C, ,
102, ed, ,277, C, ,
107, ed, ,282, C, ,
112, ed, ,287, B, ,
117, ed, ,292, A, ,
122, ed, ,297, A, ,
127, ed, ,302, A, ,
132, ed, ,307, C, ,
137, ed, ,312, A, ,
142, ed, ,317, B, ,
147, ed, ,322, C, ,
152, ed, ,327, C, ,
157, ed, ,332, C, ,
162, ed, ,337, C, ,
167, ed, ,342, A, ,
172, ed, ,347, A, ,
177, ed, ,352, C, ,

